"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
22,29,1.26697639029313,0.479497013198894,0.513450617771417,0.594289235569689,0.920057935866427,1.20576434492964,1.55032760725415,2.14580266362734,2.3578225141435,2020-04-12
29,36,1.17716939860755,0.395775751992343,0.53457555027025,0.608833926569821,0.891413446168938,1.13247762387527,1.41693060430695,1.89394102127391,2.07276235091261,2020-04-19
36,43,1.09787019519272,0.365042645307101,0.503381652287675,0.575042686400465,0.834204829681231,1.05849377932936,1.31722683561569,1.75702722525037,1.91763254483451,2020-04-26
43,50,1.09801278139377,0.365699083642216,0.500807428581648,0.573561250911616,0.834371137584777,1.05961257692287,1.31692509896233,1.75839764566736,1.92015955486991,2020-05-03
50,57,1.51086266583028,0.408143283989676,0.823217490998243,0.912123682139927,1.21847541516513,1.47283972345467,1.76344872366458,2.2420595236132,2.41149162208917,2020-05-10
57,64,1.34944697260419,0.298592048292159,0.832607441244184,0.902475847481597,1.13708138408886,1.32602102077049,1.53629799939495,1.87682483308413,1.99986924551748,2020-05-17
64,71,0.909616511457818,0.214804002641411,0.536712680204493,0.587323244156373,0.757099164495005,0.892032074491842,1.04322510161965,1.29059606381679,1.37458113371114,2020-05-24
71,78,1.22537972577101,0.267178074540649,0.756723613599501,0.822937500804204,1.03538082482503,1.20621349459954,1.39461191332861,1.69098252997411,1.79896732510164,2020-05-31
78,85,1.11800337917714,0.225024018082024,0.721832483697713,0.77480825332046,0.959841211327311,1.10283277689176,1.25928289371027,1.51004909449211,1.60197464654333,2020-06-07
85,92,1.47392148958165,0.236342720695478,1.04657140243257,1.10766651827312,1.30895102595277,1.46164583437364,1.6257111209735,1.88197658245613,1.97312280543556,2020-06-14
92,99,1.20784408709001,0.163876439764181,0.907466325330436,0.95253275864945,1.09349872290471,1.19999638426018,1.31339645618177,1.48841404780776,1.55310118303621,2020-06-21
99,106,1.20603406831026,0.142961810724116,0.944059642969416,0.981184843971685,1.10767139281034,1.20039946990819,1.29847193697159,1.45048972718844,1.50352867046757,2020-06-28
106,113,1.18729126523771,0.125256473554882,0.955346130660281,0.988821157080808,1.09980577324345,1.18296485809482,1.26878785608956,1.40205372446578,1.44612031832482,2020-07-05
113,120,1.12691014622046,0.107546798889713,0.925073821986048,0.954508093086072,1.05315168806391,1.12337182227611,1.19794377494166,1.30992208140094,1.34721054032994,2020-07-12
120,127,1.10871276876598,0.0982062659763127,0.925844550329751,0.95376475754487,1.04071131107574,1.10525915942866,1.17287174861056,1.27585553332569,1.31075886460808,2020-07-19
127,134,1.06329375412195,0.0896166773384852,0.895498359191866,0.921200999425049,1.0013557251461,1.0605609144156,1.12231200424638,1.21563254198628,1.24655919930857,2020-07-26
134,141,0.935365799999093,0.0810613227210136,0.783285812792946,0.80624111454879,0.879191738073982,0.933144158167869,0.988665023725777,1.07248670457285,1.09992251917671,2020-08-02
141,148,1.06722082517033,0.0916288937239676,0.894601005140425,0.920870633513019,1.00426843899033,1.06506775255682,1.12728881874881,1.22221494809111,1.25313327301765,2020-08-09
148,155,0.981821326191522,0.0832936894793753,0.824240488216272,0.84877051774773,0.924643764563583,0.97945747053204,1.03595846959984,1.12284805483953,1.15197929867704,2020-08-16
155,162,0.890840150620426,0.0841292286238923,0.733319538537086,0.757124542207446,0.832921758580869,0.888407220108518,0.94591512636833,1.03338018125422,1.06290890761862,2020-08-23
162,169,0.948319581928557,0.0934625081398825,0.775534625462278,0.801120423131913,0.883563342868214,0.9454675982391,1.00908988508502,1.10765164201588,1.1404018524215,2020-08-30
169,176,0.951616180730344,0.0971959885237359,0.771546410148955,0.798381411409622,0.884113617920912,0.948395645976452,1.01538349434903,1.11736178019206,1.1511748728711,2020-09-06
176,183,0.919853372852639,0.100500376623312,0.732914739788077,0.76054602167285,0.850664962485411,0.91591404409542,0.986209715459857,1.09037216264111,1.12735583444069,2020-09-13
183,190,0.928871508064533,0.108509958640442,0.72903099792992,0.757671310862089,0.853661685706363,0.92459347771442,1.00028528625657,1.11152606333487,1.15243384418783,2020-09-20
190,197,0.942499401044533,0.116697363212664,0.727182492724548,0.758849385770597,0.861333641605916,0.938279421833144,1.01823720044972,1.14155071182638,1.18425733183408,2020-09-27
197,204,1.0061859862108,0.124832802772069,0.775427012905512,0.808737844526488,0.920083324972604,1.00109044470687,1.08688020234602,1.2201415876528,1.2646782479793,2020-10-04
204,211,1.01308082201972,0.124933170038849,0.782597444175282,0.816866315364084,0.92628336880644,1.00807770974355,1.09375669316133,1.22733335787852,1.27294288391141,2020-10-11
211,218,1.10229893116973,0.130020253613155,0.863874612451986,0.898287991800471,1.01160642506996,1.09682102420912,1.18681263160937,1.32532880262874,1.36961918379883,2020-10-18
218,225,1.02085844520859,0.117887291031558,0.803963715681478,0.835867030076055,0.938599908296813,1.01637549010009,1.09774024309163,1.22137099003572,1.26533452242131,2020-10-25
225,232,1.01076169493498,0.117347899176515,0.794560990713789,0.826651486329584,0.929509440437773,1.00587318105736,1.08662163207695,1.21123940568485,1.25446236036196,2020-11-01
232,239,1.10618125894384,0.121031646981807,0.881664510199383,0.914668150587275,1.02271417806492,1.10172657234612,1.18477928706949,1.31305443781881,1.35612557654455,2020-11-08
239,246,1.03101637463777,0.10943531368798,0.827590369818375,0.858026897881047,0.954555452457321,1.02715275574054,1.10294583389275,1.21872160821372,1.25643318019584,2020-11-15
246,253,1.16343057941561,0.113504131483884,0.952513886233672,0.984247761512074,1.08439715491672,1.15988522238736,1.23836530051491,1.35515102458722,1.39501618781007,2020-11-22
253,260,1.1471085075018,0.102289303386896,0.956636006354224,0.98536992937093,1.07640806340229,1.14320392001496,1.21367467416136,1.32163550636495,1.35656260391006,2020-11-29
260,267,1.08729191144842,0.0891416241805027,0.920822408974282,0.945644261622035,1.02533444221514,1.08492326294674,1.14625313962856,1.23806041073353,1.26824098481717,2020-12-06
267,274,0.943643579400227,0.0801261953340061,0.792734268012806,0.815999650002298,0.888611739549887,0.941227740095307,0.996437720339278,1.07869816686403,1.10627004216332,2020-12-13
274,281,0.854862920722508,0.0831932312471364,0.699082105133806,0.722560942910201,0.797230226362696,0.852219211860074,0.909312827844888,0.996145317453415,1.02470278915323,2020-12-20
281,288,1.06196691421993,0.100015776460596,0.87686437702113,0.903982253343968,0.992839629238406,1.05806405106902,1.12730390158881,1.23228884654831,1.26739455457775,2020-12-27
288,295,1.0453330924787,0.0943984969870175,0.867914001584342,0.894320535965456,0.980096855251882,1.04251507061574,1.10831892880586,1.20386414742781,1.23595876225215,2021-01-03
295,302,0.92694778715325,0.0887072907049544,0.760578333704302,0.786315716462169,0.865710527538161,0.923790071798813,0.984923344133707,1.0772467661454,1.10845459155784,2021-01-10
302,309,0.842423889697488,0.0922274395287832,0.670617279572027,0.695759814704485,0.778778944935564,0.839423903004033,0.903047211397497,0.998355403188493,1.03048479178117,2021-01-17
309,316,1.01949515219035,0.113287914866972,0.810109361584181,0.840823003047402,0.941346235492471,1.01505338608363,1.09289191597955,1.21304962750141,1.25388366476624,2021-01-24
316,323,1.23078537053824,0.119164154719523,1.00874142470663,1.04152957807219,1.14811544440103,1.22691616047495,1.30930447706612,1.43408320647535,1.47431915909797,2021-01-31
323,330,1.246640078942,0.10419337613227,1.05159410423273,1.08136251876713,1.17501664127501,1.24290114881868,1.31497566885997,1.42505931119061,1.46025676419231,2021-02-07
330,337,1.27306008620283,0.0908858335916755,1.1031474358909,1.12819826599259,1.2104332514624,1.27029595987607,1.33266406292956,1.42643796151111,1.45855597712738,2021-02-14
337,344,1.4092267480584,0.0857111580404182,1.24970556160436,1.2725402015962,1.34966292567634,1.40656911317923,1.4655388991226,1.55487875742376,1.58467687007496,2021-02-21
344,351,1.16634555177292,0.0605586835530753,1.05397285035072,1.07103191208191,1.12447472513471,1.16414928753844,1.20603572685908,1.26857241487843,1.29212509015606,2021-02-28
351,358,1.02840622507822,0.0456859601387886,0.940931619505322,0.954534510189295,0.997139860274517,1.02775485539503,1.05860892545287,1.1050741224873,1.12029121062647,2021-03-07
358,365,0.893680272062784,0.0423692952116373,0.812720235281601,0.825214503358777,0.86468064582578,0.893115624609252,0.921771307652728,0.964590372786423,0.979419486845714,2021-03-14
365,372,0.830928335953032,0.047832623590067,0.739720822592422,0.753675874677794,0.798114384408524,0.830140545143625,0.863047907008046,0.911017856983351,0.926733156475701,2021-03-21
372,379,0.824949187837601,0.0540380205920661,0.722500072338527,0.737869478529078,0.78803189352735,0.823757380636008,0.860869793203358,0.915427073583383,0.934242632250154,2021-03-28
379,386,0.848312888656606,0.0630017831405657,0.729516486875563,0.746983365924757,0.805022781291149,0.846676063692551,0.889788279757003,0.95472905267413,0.976226610243931,2021-04-04
386,393,0.939825814535084,0.0713435530591061,0.804417032777459,0.825591923956657,0.890963335795664,0.937717822431567,0.98675806821373,1.06046781787565,1.08471043381103,2021-04-11
393,400,0.93191398887742,0.0739330819514987,0.793420731601532,0.814332240839497,0.88102974159974,0.929840379906619,0.980647010470961,1.05655846071103,1.08350986442192,2021-04-18
400,407,0.929802241996053,0.0783863981907985,0.781737462636096,0.804515613779282,0.876098407068408,0.927520363817253,0.981708222069113,1.06274481621391,1.08984620198531,2021-04-25
407,414,0.896312059208838,0.0810307096068727,0.743705583842458,0.767447814409911,0.840459964528185,0.893486703839711,0.949412649610355,1.03360864963049,1.06267729451573,2021-05-02
414,421,1.0037671373428,0.0941361605508524,0.827703313394458,0.85329901580026,0.93872326881604,1.00050901798297,1.06556257787847,1.163107505427,1.19750678471016,2021-05-09
421,428,1.1258796407308,0.096474348645728,0.943222673703752,0.971398561526514,1.05974949836468,1.12338529343508,1.18965919853941,1.28785051733827,1.32138574941965,2021-05-16
428,435,1.06163613157054,0.0866148307289766,0.898882820787875,0.923368297518507,1.00194593374136,1.05875267619423,1.11876181781842,1.20798854079411,1.23664649705995,2021-05-23
435,442,0.918861101620497,0.0789936971788593,0.770885617315877,0.79297054407449,0.864594736744457,0.916222954241111,0.970461235356808,1.05344768921299,1.07954239730873,2021-05-30
442,449,0.954492678053241,0.0874741716681055,0.791412510598691,0.816132279202326,0.893853749066544,0.951231175068041,1.01227988507356,1.10261552335397,1.13399721978039,2021-06-06
449,456,0.949343794077587,0.0890061548899397,0.782757852963992,0.807595510611038,0.887772837796568,0.946866169980998,1.00750394794072,1.10021203434287,1.13145151649847,2021-06-13
