"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
36,43,1.09957601523114,0.366933786217116,0.502876791353925,0.574906899011443,0.836180555164297,1.05686453921914,1.31760622492554,1.77258677559784,1.93282010617204,2020-04-05
43,50,1.09772785147301,0.364675449721023,0.500742449457842,0.573783647943566,0.835455402531976,1.058253054762,1.31550586610726,1.75809236328038,1.91448933608138,2020-04-12
50,57,1.09835529308808,0.367616107738408,0.500522421110553,0.573435805632777,0.831677080913611,1.05703749227854,1.31980567333393,1.76077257663269,1.92863283001146,2020-04-19
57,64,1.09537926075653,0.368392004339395,0.501799435842452,0.568713593699209,0.829157962012644,1.05356259183618,1.31589078975445,1.76198785116756,1.93595263605225,2020-04-26
64,71,1.0967863631391,0.365004178154552,0.498705046947502,0.570514668677169,0.833635285578671,1.0575368687317,1.31567516574736,1.76189970650819,1.9192080556217,2020-05-03
71,78,1.48272877916248,0.375989186099331,0.838056116164301,0.92306490457204,1.21648271877035,1.45066980654257,1.71792409918007,2.1483462254816,2.30250021660279,2020-05-10
78,85,1.07515461653968,0.262178796284832,0.625911961988626,0.68513677418092,0.88957177749595,1.05322522580472,1.23671172133869,1.54161959591425,1.64652765139638,2020-05-17
85,92,1.2775016805068,0.260942697900564,0.818843080228666,0.880403840437781,1.09251382149665,1.26004917076259,1.44265119053221,1.73369993308685,1.83267752705467,2020-05-24
92,99,1.21135525660039,0.217761067602788,0.824451594012256,0.878042451071335,1.05767168934714,1.19861312016568,1.35061029050882,1.59166836318258,1.6691571066727,2020-05-31
99,106,1.26004286282806,0.192384737703134,0.913677354195027,0.962273587915814,1.12494099536322,1.2498017610401,1.38425629699247,1.59151204722983,1.66427554917371,2020-06-07
106,113,0.89359969759408,0.141912678775475,0.637674384638973,0.674669017850126,0.794723749951373,0.885845188263277,0.983871532198321,1.13904505614239,1.19327662809942,2020-06-14
113,120,1.07046629307939,0.175213299677278,0.754296418998957,0.797513038546528,0.947981092765066,1.06153840276851,1.18342555519884,1.37391399638912,1.44048589631434,2020-06-21
120,127,1.05512097492665,0.160319945521648,0.764698559742462,0.805694710719633,0.942724434669283,1.04796526880376,1.15855293188656,1.33149237277408,1.38963223638383,2020-06-28
127,134,1.07889935625122,0.161690376648882,0.785176151151555,0.828316022809444,0.965872381780439,1.07060521020165,1.18181593935058,1.35798196983076,1.41933104668387,2020-07-05
134,141,1.27327347480056,0.161786213175117,0.975652190858124,1.02034439988737,1.16004671067417,1.26583873958316,1.37920017040119,1.54863505409863,1.60696268194712,2020-07-12
141,148,0.987717106341949,0.122573249855353,0.762108210210767,0.793783279242933,0.902706041467441,0.982890242273395,1.06769309097987,1.19725877047129,1.2422284268661,2020-07-19
148,155,0.905422675280133,0.122556332664642,0.681751386662865,0.713277829596709,0.820018482721326,0.899957900513552,0.984779622283664,1.11627978948238,1.16089479398919,2020-07-26
155,162,0.944933533747536,0.135527139489838,0.698204929581035,0.734802030305803,0.850435693145604,0.938183522004298,1.03269612052785,1.17657769507905,1.22796848317837,2020-08-02
162,169,0.917050393343797,0.1423587519574,0.657742441508671,0.696441178805075,0.817696944435872,0.909830343969389,1.00902078523708,1.16381742132187,1.21578125140125,2020-08-09
169,176,1.05839509096365,0.160787069913399,0.765969869072232,0.807883031871964,0.945885674491526,1.04979562887638,1.16305371368279,1.33496278763549,1.39557839641803,2020-08-16
176,183,1.05329207182279,0.153570411514465,0.776285451718162,0.814510392174969,0.946118727509837,1.04674499929286,1.15167064634634,1.31803892554323,1.37376141030294,2020-08-23
183,190,0.895208063480541,0.143524929275522,0.635963023833821,0.672643998735561,0.794638044636474,0.888666115220235,0.987026856371001,1.14343693414306,1.19790471611235,2020-08-30
190,197,0.998536763282223,0.166817287115547,0.698546284046205,0.740432382945915,0.882082676116695,0.988167883938461,1.10551876945739,1.28640224496383,1.35182421167819,2020-09-06
197,204,0.917950001118576,0.161267782087242,0.631086878504903,0.669133084789687,0.804943053026543,0.90804365703045,1.02046652049536,1.19874206626867,1.26161306028994,2020-09-13
204,211,1.02930883586861,0.184530383262332,0.70384337615811,0.745811089101885,0.900231600003558,1.01717527584576,1.14643532004516,1.35160036906624,1.42341159006573,2020-09-20
211,218,0.933572842293995,0.173862663309168,0.623902503698825,0.667129168498106,0.809913199010259,0.923134133698581,1.04246764567258,1.24001714729108,1.30851869666996,2020-09-27
